year,waste_type,recycling_rate
2000,Construction Debris,61
2000,Used Slag,45
2000,Ferrous Metal,92
2000,Scrap Tyres,54
2000,Non-Ferrous Metal,84
2000,Wood,9
2000,Paper/Cardboard,43
2000,Horticultural Waste,42
2000,Plastics,21
2000,Glass,14
2000,Food,1
2000,Textiles,0
2000,Ash and Sludge,0
2000,Others,1
2001,Construction Debris,85
2001,Used Slag,90
2001,Ferrous Metal,87
2001,Scrap Tyres,59
2001,Non-Ferrous Metal,85
2001,Wood,8
2001,Paper/Cardboard,36
2001,Horticultural Waste,32
2001,Plastics,10
2001,Glass,15
2001,Food,6
2001,Textiles,0
2001,Ash and Sludge,0
2001,Others,0
2002,Construction Debris,90
2002,Used Slag,92
2002,Ferrous Metal,94
2002,Scrap Tyres,44
2002,Non-Ferrous Metal,81
2002,Wood,9
2002,Paper/Cardboard,40
2002,Horticultural Waste,28
2002,Plastics,6
2002,Glass,11
2002,Food,6
2002,Textiles,2
2002,Ash and Sludge,0
2002,Others,0
2003,Construction Debris,94
2003,Used Slag,92
2003,Ferrous Metal,93
2003,Scrap Tyres,43
2003,Non-Ferrous Metal,81
2003,Wood,19
2003,Paper/Cardboard,43
2003,Horticultural Waste,39
2003,Plastics,7
2003,Glass,9
2003,Food,6
2003,Textiles,1
2003,Ash and Sludge,0
2003,Others,0
2004,Construction Debris,93
2004,Used Slag,97
2004,Ferrous Metal,90
2004,Scrap Tyres,49
2004,Non-Ferrous Metal,83
2004,Wood,33
2004,Paper/Cardboard,46
2004,Horticultural Waste,56
2004,Plastics,11
2004,Glass,7
2004,Food,6
2004,Textiles,4
2004,Ash and Sludge,0
2004,Others,10
2005,Construction Debris,94
2005,Used Slag,78
2005,Ferrous Metal,92
2005,Scrap Tyres,64
2005,Non-Ferrous Metal,84
2005,Wood,38
2005,Paper/Cardboard,49
2005,Horticultural Waste,51
2005,Plastics,13
2005,Glass,6
2005,Food,7
2005,Textiles,4
2005,Ash and Sludge,0
2005,Others,4
2006,Construction Debris,98
2006,Used Slag,89
2006,Ferrous Metal,91
2006,Scrap Tyres,81
2006,Non-Ferrous Metal,82
2006,Wood,37
2006,Paper/Cardboard,51
2006,Horticultural Waste,38
2006,Plastics,12
2006,Glass,10
2006,Food,8
2006,Textiles,4
2006,Ash and Sludge,0
2006,Others,6
2007,Construction Debris,98
2007,Used Slag,99
2007,Ferrous Metal,91
2007,Scrap Tyres,86
2007,Non-Ferrous Metal,82
2007,Wood,52
2007,Paper/Cardboard,51
2007,Horticultural Waste,41
2007,Plastics,11
2007,Glass,9
2007,Food,9
2007,Textiles,5
2007,Ash and Sludge,0
2007,Others,6
2008,Construction Debris,98
2008,Used Slag,99
2008,Ferrous Metal,94
2008,Scrap Tyres,88
2008,Non-Ferrous Metal,85
2008,Wood,71
2008,Paper/Cardboard,48
2008,Horticultural Waste,42
2008,Plastics,9
2008,Glass,18
2008,Food,12
2008,Textiles,12
2008,Ash and Sludge,0
2008,Others,3
2009,Construction Debris,98
2009,Used Slag,99
2009,Ferrous Metal,92
2009,Scrap Tyres,83
2009,Non-Ferrous Metal,82
2009,Wood,72
2009,Paper/Cardboard,48
2009,Horticultural Waste,39
2009,Plastics,9
2009,Glass,21
2009,Food,13
2009,Textiles,12
2009,Ash and Sludge,0
2009,Others,1
2010,Construction Debris,99
2010,Used Slag,99
2010,Ferrous Metal,94
2010,Scrap Tyres,83
2010,Non-Ferrous Metal,85
2010,Wood,70
2010,Paper/Cardboard,53
2010,Horticultural Waste,40
2010,Plastics,11
2010,Glass,24
2010,Food,16
2010,Textiles,12
2010,Ash and Sludge,0
2010,Others,1
2011,Construction Debris,99
2011,Used Slag,98
2011,Ferrous Metal,95
2011,Scrap Tyres,83
2011,Non-Ferrous Metal,88
2011,Wood,64
2011,Paper/Cardboard,56
2011,Horticultural Waste,37
2011,Plastics,11
2011,Glass,29
2011,Food,10
2011,Textiles,13
2011,Ash and Sludge,0
2011,Others,1
2012,Construction Debris,99
2012,Used Slag,97
2012,Ferrous Metal,96
2012,Scrap Tyres,88
2012,Non-Ferrous Metal,79
2012,Wood,69
2012,Paper/Cardboard,56
2012,Horticultural Waste,44
2012,Plastics,10
2012,Glass,26
2012,Food,12
2012,Textiles,11
2012,Ash and Sludge,0
2012,Others,1
2013,Construction Debris,99
2013,Used Slag,97
2013,Ferrous Metal,97
2013,Scrap Tyres,88
2013,Non-Ferrous Metal,84
2013,Wood,77
2013,Paper/Cardboard,54
2013,Horticultural Waste,48
2013,Plastics,11
2013,Glass,20
2013,Food,13
2013,Textiles,10
2013,Ash and Sludge,7
2013,Others,1
2014,Construction Debris,99
2014,Used Slag,99
2014,Ferrous Metal,96
2014,Scrap Tyres,88
2014,Non-Ferrous Metal,80
2014,Wood,80
2014,Paper/Cardboard,52
2014,Horticultural Waste,59
2014,Plastics,9
2014,Glass,20
2014,Food,13
2014,Textiles,11
2014,Ash and Sludge,15
2014,Others,1
2015,Construction Debris,99
2015,Used Slag,99
2015,Ferrous Metal,99
2015,Scrap Tyres,92
2015,Non-Ferrous Metal,89
2015,Wood,79
2015,Paper/Cardboard,51
2015,Horticultural Waste,66
2015,Plastics,7
2015,Glass,19
2015,Food,13
2015,Textiles,8
2015,Ash and Sludge,13
2015,Others,2
